mobile_name,rating,ram_rom,display,camera,battery,processor,price,mobile_link
"POCO X6 Neo 5G (Martian Orange, 256 GB)",4.1,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 6080 Processor,"₹15,999",https://www.flipkart.com/poco-x6-neo-5g-martian-orange-256-gb/p/itm4257d01051fff?pid=MOBGYQ6BZDTVUEBZ&lid=LSTMOBGYQ6BZDTVUEBZYFUMLX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_628&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBGYQ6BZDTVUEBZ.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Motorola g31 (Baby Blue, 128 GB)",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh LiPo Battery,Mediatek Helio G85 Processor,"₹9,099",https://www.flipkart.com/motorola-g31-baby-blue-128-gb/p/itm4abfdd078ea12?pid=MOBG3E8WDCFZEGFN&lid=LSTMOBG3E8WDCFZEGFN0PGWEF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_629&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBG3E8WDCFZEGFN.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Tecno Pova 6 Pro 5G (Comet Green, 256 GB)",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD Display,108MP Rear Camera | 32MP Front Camera,6000 mAh Battery,Mediatek Dimensity 6080 Processor,"₹19,999",https://www.flipkart.com/tecno-pova-6-pro-5g-comet-green-256-gb/p/itm461d412f51b41?pid=MOBHY45CVHEYJQSE&lid=LSTMOBHY45CVHEYJQSENXVIAQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_630&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBHY45CVHEYJQSE.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"realme Narzo N63 4G (Twilight Purple, 128 GB)",4.1,4 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Domestic Warranty 1 year for handset and 6 months for accessories.,"₹8,998",https://www.flipkart.com/realme-narzo-n63-4g-twilight-purple-128-gb/p/itmcfaf690cba6a9?pid=MOBH29ZR98NT7ZZZ&lid=LSTMOBH29ZR98NT7ZZZSPWQKQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_631&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBH29ZR98NT7ZZZ.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery,MediaTek Dimensity 6100+ Processor,"₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm1357d201bcb0a?pid=MOBGYBAVT967G37V&lid=LSTMOBGYBAVT967G37VWBN6IA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_632&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBGYBAVT967G37V.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Infinix Hot 11S (Polar Black, 128 GB)",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50 MP + 2 MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G88 Processor,"₹7,799",https://www.flipkart.com/infinix-hot-11s-polar-black-128-gb/p/itm89f2c3f6ece7e?pid=MOBG9BGWKNCAEXCQ&lid=LSTMOBG9BGWKNCAEXCQWYT66U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_633&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBG9BGWKNCAEXCQ.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"vivo V40 5G (Ganges Blue, 512 GB)",4.5,12 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP | 50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,"₹41,999",https://www.flipkart.com/vivo-v40-5g-ganges-blue-512-gb/p/itm444f2b97f5db4?pid=MOBH33ZXZVZKEUFH&lid=LSTMOBH33ZXZVZKEUFHIBCHKO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_634&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBH33ZXZVZKEUFH.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"OPPO A38 (Glowing Gold, 128 GB)",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.66 cm (6.56 inch) HD Display,50MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 (MT6769) Processor,"₹10,999",https://www.flipkart.com/oppo-a38-glowing-gold-128-gb/p/itme1efb05b1af7f?pid=MOBGT3SHRFF8JBAD&lid=LSTMOBGT3SHRFF8JBADS3EAIO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_635&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBGT3SHRFF8JBAD.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1280 Processor,"₹14,999",https://www.flipkart.com/samsung-galaxy-f34-5g-mystic-green-128-gb/p/itm2ce3011602d7b?pid=MOBGRZMYHHCWCAXG&lid=LSTMOBGRZMYHHCWCAXGZPMGCO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_636&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBGRZMYHHCWCAXG.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Google Pixel 9 (Peony, 256 GB)",4.6,12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,4700 mAh Battery,Google Tensor G4 Processor,"₹79,999",https://www.flipkart.com/google-pixel-9-peony-256-gb/p/itmdfee129571238?pid=MOBH2HJGNG6PVUYH&lid=LSTMOBH2HJGNG6PVUYHXGA7EB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_637&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBH2HJGNG6PVUYH.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
